式神,生命,攻击,防御,速度,暴击,效果命中,效果抵抗,一技能,一技能描述,一技能强化,二技能,二技能描述,二技能强化,三技能,三技能描述,三技能强化,觉醒效果,觉醒技能,觉醒技能描述,觉醒技能强化
虫师,14013.16,2385.2,388.08,115,0.03,0,0,虫之舞,闪烁到敌方目标面前并展开攻击，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",虫之痕,受到伤害时，若自身未处于无法动作，则有25%概率免疫伤害，并有100%基础概率为攻击者附加虫之痕，持续2回合，单次攻击内最多触发1次。,,虫之护,为最多3个友方目标驱散1个减益状态或控制效果。然后为友方全体治疗生命上限12%的生命，受驱散的友方治疗量降低30%。,"Lv.2可驱散友方目标增至4个
Lv.3治疗增至15%
Lv.4受驱散的友方治疗量降低降至20%
Lv.5治疗增至18%",觉醒技能增强,虫之痕,"受到伤害时，若自身未处于无法动作，则有25%概率免疫伤害，并有100%基础概率为攻击者附加虫之痕，持续2回合，单次攻击内最多触发1次。
带有虫之痕的敌方受到伤害时，为生命比例最低的友方治疗等同该次伤害15%的生命。",
蜜桃&芥子,12418.28,2063.6,485.1,110,0.05,0,0,兔狱卒·叱责,跳到敌方目标面前攻击，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,蜜桃·地狱偶像,蜜桃真纪和芥子一起为队友打气，使友方全体增加15%行动条，并治疗生命上限6%的生命。,"Lv.2治疗增至8%
Lv.3增加行动条增至20%
Lv.4治疗增至10%
Lv.5增加行动条增至25%",觉醒添加技能,兔狱卒·坚毅,受到伤害时，有30%概率使该次伤害降低50%。,
蝴蝶精,12076.52,2438.8,454.23,115,0.05,0,0,香气袭人,扇动翅膀将能乱人心神的花粉吹向敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,祈愿之舞,为友方目标驱散3个减益状态或控制效果，然后治疗生命上限30%的生命，并获得蝶舞，持续3回合，每回合治疗生命上限30%的生命。,"Lv.2治疗增至31%，蝶舞治疗增至31%
Lv.3治疗增至33%，蝶舞治疗增至33%
Lv.4治疗增至34%，蝶舞治疗增至34%
Lv.5治疗增至36%，蝶舞治疗增至36%",觉醒添加技能,轻盈,生命比例最低的友方，生命比例每降低30%，蝴蝶精便提升10点速度。,"Lv.2提升速度效果增至20点
Lv.3生命比例门槛降至25%生命
Lv.4提升速度效果增至30点
Lv.5生命比例门槛降至20%生命"
觉,11620.84,2599.6,445.41,108,0.05,0,0,棒打,挥舞着手中的狼牙棒跳过去敲打敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,棒球炸弹,用狼牙棒向敌方打出炸弹球，爆炸对敌方全体造成攻击132%伤害。,"Lv.2伤害增加至139%
Lv.3伤害增加至146%
Lv.4伤害增加至153%
Lv.5伤害增加至160%",觉醒添加技能,记仇,"受到攻击时，有40%基础概率为攻击者附加记仇。
攻击带有记仇的敌方，伤害提升15%。",
跳跳哥哥,10709.48,3055.2,405.72,119,0.05,0,0,棺击,跳到敌人面前，甩出棺材狠砸敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,死而复生,"在所有阵亡的友方位置均召唤1个棺材。
棺材在下次行动时牺牲，复活原本位于该位置的友方并治疗其生命上限100%的生命。
棺材继承该位置友方10%生命值，100%速度。此外，跳跳哥哥生命上限30%作为加成，平均分给所有棺材。","Lv.2继承生命值增至15%
Lv.3继承生命值增至20%
Lv.4继承生命值增至25%
Lv.5继承生命值增至30%",觉醒添加技能,不弃,"提升20%效果抵抗。
友方被击杀时，使用『棺击』攻击击杀者，并有100%基础概率使其眩晕，持续1回合。","Lv.2提升效果抵抗增至25%
Lv.3提升效果抵抗增至30%
Lv.4提升效果抵抗增至35%
Lv.5提升效果抵抗增至40%"
跳跳妹妹,10937.32,3055.2,396.9,108,0.1,0,0,坏人走开,往前冲，甩手抽打敌方目标2次，每次造成攻击50%伤害。,"Lv.2伤害增加至53%
Lv.3伤害增加至55%
Lv.4伤害增加至58%
Lv.5伤害增加至63%",不玩了啦,回合结束时，有30%概率使友方全体获得萝莉正义，持续2回合。,,汪汪出击,"召唤番茄，番茄可使用撕咬、愤怒；召唤时立即使用愤怒攻击生命比例最低的敌方。
番茄继承跳跳妹妹60%生命值，50%攻击。","Lv.2继承攻击增至80%
Lv.3番茄对敌方造成伤害时，驱散其随机1个增益状态
Lv.4继承生命值增至100%
Lv.5跳跳妹妹攻击时，番茄将协战",觉醒技能增强,汪汪出击,"召唤番茄，番茄可使用撕咬、愤怒；召唤时立即使用愤怒攻击生命比例最低的敌方。
敌方阵亡时，番茄将使用蛮横。
番茄继承跳跳妹妹60%生命值，50%攻击。","Lv.2继承攻击增至80%
Lv.3番茄对敌方造成伤害时，驱散其随机1个增益状态
Lv.4继承生命值增至100%
Lv.5跳跳妹妹攻击时，番茄将协战"
跳跳弟弟,10709.48,3028.4,410.13,104,0.08,0,0,直拳,往前跳并奋力使出直拳攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,毒气喷泉,"喷吐毒气攻击敌方全体，造成攻击76%伤害并附加跳跳尸毒，造成22%间接伤害，持续2回合。
敌方带有的跳跳尸毒被驱散时，为其附加腐蚀毒素，持续2回合。","Lv.2伤害增至80%，间接伤害增至23%
Lv.3伤害增至84%，间接伤害增至24%
Lv.4伤害增至88%，间接伤害增至25%
Lv.5伤害增至92%，间接伤害增至26%",觉醒添加技能,驱逐,受到伤害时提升攻击，等同所受伤害的5%。,"Lv.2提升攻击效果增至6%
Lv.3提升攻击效果增至7%
Lv.4提升攻击效果增至8%
Lv.5提升攻击效果增至9%"
辉夜姬,13785.32,2331.6,405.72,108,0.05,0,0,蓬莱玉枝,使用蓬莱玉枝召唤灵气攻击敌方目标，造成攻击100%伤害并有10%概率削减其1点鬼火。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",火鼠裘,"唯一效果。
受到攻击时，有30%概率获得1点鬼火。
若拥有『龙首之玉』的幻境，则任一友方受到攻击也会触发。受到群体攻击、多段攻击不多次触发。","Lv.2触发概率增至35%
Lv.3触发概率增至40%",龙首之玉,创造存在2回合的幻境，使友方全体提升15%防御、10%效果抵抗，且在回合开始前有67%概率获得1点鬼火。,"Lv.2提升防御效果增至20%
Lv.3提升效果抵抗效果增至15%
Lv.4提升防御效果增至25%
Lv.5提升效果抵抗效果增至20%",觉醒技能增强,火鼠裘,"唯一效果。
受到攻击时，有30%概率获得1点鬼火。
若拥有『龙首之玉』的幻境，则任一友方受到攻击也会触发。受到群体攻击、多段攻击不多次触发。
先机：施放『龙首之玉』","Lv.2触发概率增至35%
Lv.3触发概率增至40%"
追月神,12760.04,2304.8,449.82,109,0.05,0,0,邀月,使用月之印攻击敌方目标，造成攻击100%伤害，并增加自身20%行动条。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,清辉月华,向月亮起舞降下月之祝福，维持1回合。期间使友方全体提升10点速度，并在其回合结束时，使鬼火行动条额外推进1格。,"Lv.2期间额外提升10%攻击
Lv.3提升速度效果，增至20点
Lv.4提升攻击效果，增至20%
Lv.5施放时，使自身获得庇护，可抵挡单次技能当中的所有控制效果",觉醒添加技能,明月潮生,先机：使鬼火行动条额外推进1格。,"Lv.2额外推进增至2格
Lv.3额外推进增至3格
Lv.4额外推进增至4格"
酒吞童子,11165.16,3135.6,374.85,113,0.1,0,0,鬼葫芦,以妖力操控鬼葫芦喷出瘴气攻击敌方目标，造成攻击100%伤害。若非进行反击，则每层狂气增加1次攻击次数。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",狂气,"回合结束时，有50%概率获得1层狂气。受到攻击时，有25%概率获得1层狂气。
狂气上限4层。",,狂啸,瞬间迸发妖力，恢复生命上限的30%，增加50%行动条，并进入鬼王降临，持续回合等同狂气层数，并在型态结束时失去所有狂气。,"Lv.2鬼王降临吸血效果增加至15%
Lv.3鬼王降临吸血效果增加至20%
Lv.4鬼王降临吸血效果增加至25%
Lv.5鬼王降临吸血效果增加至30%",属性增强:伤害减免增加10%,,,
金鱼姬,13671.4,2331.6,410.13,116,0.05,0,0,扇舞,"冲向敌方目标调皮地用扇子攻击，造成攻击80%伤害。
若金鱼在场，则为其治疗生命上限10%的生命并获得1层扇舞，上限5层。","Lv.2伤害增加至84%
Lv.3伤害增加至88%
Lv.4伤害增加至92%
Lv.5伤害增加至100%",金鱼·反击,当敌方累计行动8次时，金鱼对敌方全体造成攻击120%伤害，并有25%基础概率使其沉默，持续1回合。,,金鱼·助阵,"召唤金鱼，金鱼可使用鱼之怒。当友方被攻击时，若受到单体伤害，金鱼将为其分担40%（优先于薙魂触发），直到攻击结束，每次攻击最多触发一次。
金鱼继承金鱼姬48%生命值，100%攻击，100%速度。","Lv.2生命继承增至54%
Lv.3生命继承增至60%
Lv.4生命继承增至66%
Lv.5鱼之怒有50%概率击退30%行动条",觉醒技能增强,金鱼·助阵,"召唤金鱼，金鱼可使用鱼之怒。当友方被攻击时，若受到单体伤害，金鱼将为其分担40%（优先于薙魂触发），直到攻击结束，每次攻击最多触发一次。
金鱼继承金鱼姬48%生命值，100%攻击，100%速度，100%效果抵抗。","Lv.2生命继承增至54%
Lv.3生命继承增至60%
Lv.4生命继承增至66%
Lv.5普攻有50%概率击退30%行动条"
铁鼠,10709.48,2921.2,427.77,115,0.08,0,0,钱响叮当,乘着金币之轮哐啷哐啷地移动到敌人面前，趁敌方目标分神之际狠敲其脑袋，造成攻击100%伤害，有50%基础概率附加钱击，持续2回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,钱即正义,以妖力操纵数不尽的金币攻击敌方全体2次，每次造成攻击44%伤害并有50%基础概率附加破绽，持续2回合。,"Lv.2伤害增加至46%
Lv.3伤害增加至48%
Lv.4伤害增加至50%
Lv.5伤害增加至52%",觉醒添加技能,横财护身,"受到攻击时，有40%基础概率为攻击者附加收买，持续2回合。
铁鼠出战并获得胜利的战斗，获得的金币奖励提升8%。",
镰鼬,11620.84,2680,432.18,117,0.05,0,0,胖揍,使用多种武器攻击敌方目标，造成攻击100%伤害，有20%基础概率随机附加以下一种效果，降低30%防御2回合、眩晕1回合、或每回合受到生命上限5%的伤害，持续2回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",,,,兄弟之绊,激励队友，使友方全体获得二哥呼哨、三弟呼哨，持续2回合。,"Lv.2二哥呼哨提升攻击效果增至20%
Lv.3可以使友方全体增加30%行动条
Lv.4三弟呼哨提升效果抵抗增至20%
Lv.5二哥呼哨提升攻击效果增至25%",觉醒添加技能,人多势众,回合结束时，有10%概率获得新的回合。,"Lv.2触发概率增至15%
Lv.3触发概率增至20%
Lv.4触发概率增至25%
Lv.5触发概率增至30%"
阎魔,11962.6,2465.6,454.23,127,0.05,0,0,鬼面,召唤鬼面攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",夺魂,"敌方阵亡时在其位置召唤1个白色小鬼，小鬼在下次行动时牺牲并对敌方全体造成攻击100%伤害。
小鬼继承阎魔10%生命值，50%攻击；被小鬼占位的敌方无法被复活。
『怨魂重压』有50%基础概率将敌方目标变形为黑色小鬼，持续1回合。","Lv.2变形基础概率增加至55%
Lv.3变形基础概率增加至60%
Lv.4变形基础概率增加至65%
Lv.5变形基础概率增加至70%",怨魂重压,唤出亡灵攻击敌方目标，造成攻击211%伤害并有100%基础概率使其沉默2回合。,"Lv.2伤害增加至222%
Lv.3伤害增加至233%
Lv.4伤害增加至244%
Lv.5伤害增加至255%",属性增强:速度增加10,,,
阿香,10595.56,3162.4,401.31,114,0.05,0,0,蛇卒·毒牙,命令身后的蛇突袭敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",蛇之影,攻击时，有100%基础概率为敌方附加1层蛇之影，上限3层，持续3回合。,,蛇卒·狂暴,召唤蛇之力攻击敌方目标，造成攻击180%伤害（每层蛇之影额外提升40%），对有3层蛇之影的敌方有100%基础概率使其眩晕1回合。,"Lv.2伤害增加至189%
Lv.3伤害增加至198%
Lv.4伤害增加至207%
Lv.5伤害增加至216%",觉醒技能增强,蛇之影,"攻击时，有100%基础概率为敌方附加1层蛇之影，上限3层，持续3回合。
自身及友方受到非传导伤害时，有25%概率反击敌方，单次攻击内最多触发1次。",
雨女,12304.36,2251.2,476.28,103,0.05,0,0,泪珠,将蕴涵妖力的泪珠存在伞中，并在必要时射出泪弹攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,天之泪,"对敌方全体各驱散1个增益状态，并有50%基础概率为其附加泪之绊，持续2回合。
对友方全体带有的每个减益状态或控制效果有67%概率驱散，每位友方最多驱散4个。","Lv.2泪之绊减速基础概率增至100%
Lv.3驱散敌方增益状态数量增至2个
Lv.4泪之绊减速效果增至20点",觉醒添加技能,净化之雨,回合开始时，驱散自身所有减益状态和控制效果。,
雪女,10481.64,3055.2,414.54,109,0.08,0,0,雪球,扔出雪球攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至110%
Lv.3有25%基础概率使目标减速10点，持续2回合
Lv.4伤害增加至120%
Lv.5减速基础概率增至50%",,,,暴风雪,召唤暴风雪攻击敌方全体3次，每次造成攻击30%伤害，并有8%基础概率将其冰冻1回合，若敌方带有减速效果，则最终概率提升10%。,"Lv.2伤害增加至33%
Lv.3有8%基础概率减速10点，持续2回合
Lv.4伤害增加至36%
Lv.5减速基础概率增至16%",觉醒添加技能,冰甲术,回合结束时，获得护盾，能吸收6％生命上限的伤害。,"Lv.2护盾吸收量增至7%
Lv.3被攻击时，护盾有25%基础概率使攻击方减速10点，持续2回合
Lv.4护盾吸收量增至8%
Lv.5减速基础概率增至50%"
雪童子,10025.96,3323.2,388.08,121,0.08,0,0,雪走,"从胸前刀镡处拔出名刀""雪走""，挥出强力砍击攻击敌方目标，造成攻击80%伤害。","Lv.2伤害增加至84%
Lv.3伤害增加至88%
Lv.4伤害增加至92%
Lv.5伤害增加至100%",霜天之织,造成伤害或传导伤害时，有45%基础概率附加冰冻1～2回合，对带有冰冻的敌人会碎冰，使该次伤害提升300%并移除其冰冻。,,胧月雪华斩,"使用名刀""雪走""攻击敌方目标3次，每次造成攻击80%伤害，并使效果命中提升200%直到回合结束。","Lv.2伤害增加至84%
Lv.3伤害增加至88%
Lv.4伤害增加至92%
Lv.5伤害增加至100%",觉醒技能增强,霜天之织,"造成伤害或传导伤害时，有45%基础概率附加冰冻1～2回合，对带有冰冻的敌人会碎冰，使该次伤害提升300%并移除其冰冻。
战斗开始及回合结束时，获得霜织庇护，回合开始时，失去此印记。",
青坊主,13329.64,2385.2,414.54,118,0.05,0,0,摩诃,使用灵咒攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",无量,"唯一效果。
战斗开始时，获得1层佛光，上限6层，最少1层，持续到战斗结束。
每当友方受到控制效果时，获得1层佛光；回合结束时，失去1层佛光。",,禅心,使用灵咒攻击敌方全体，造成攻击185%伤害。青坊主杀心受佛光抑制，每层降低10%伤害。,"Lv.2伤害增加至195%
Lv.3伤害增加至204%
Lv.4伤害增加至213%
Lv.5伤害增加至222%",觉醒技能增强,禅心,使用灵咒攻击敌方全体，造成攻击185%伤害，对召唤物造成双倍伤害。青坊主杀心受佛光抑制，每层降低10%伤害。,"Lv.2伤害增加至195%
Lv.3伤害增加至204%
Lv.4伤害增加至213%
Lv.5伤害增加至222%"
青蛙瓷器,10595.56,2974.8,423.36,107,0.1,0,0,出千,突然变出麻将砸向敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,岭上开花,对敌方目标投出骰子，根据骰子点数来决定攻击次数，每次造成攻击49%伤害。,"Lv.2伤害增加至52%
Lv.3伤害增加至54%
Lv.4伤害增加至57%
Lv.5伤害增加至59%",觉醒添加技能,转运,"阵亡时，对每个敌方免消耗施放1次『岭上开花』，若有至少两个骰子同点，则立即复活并治疗自身，治疗等同生命上限10%x最小同点数。
冷却时间为最大同点数。",
青行灯,11620.84,2438.8,471.87,119,0.08,0,0,幽光,以妖力攻击敌方目标，造成攻击100%伤害并有30%概率吸取1点鬼火。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",明灯,"唯一效果。
其他友方式神的回合开始时，有10%概率使其获得明灯直到回合结束。","Lv.2触发概率增至12%
Lv.3触发概率增至14%
Lv.4触发概率增至16%
Lv.5触发概率增至40%，但每拥有1点鬼火使概率降低3%",吸魂灯,燃起鬼灯攻击敌方全体，造成攻击158%伤害，并对每个伤害的敌方有30%概率吸取1点鬼火。,"Lv.2伤害增加至165%
Lv.3伤害增加至172%
Lv.4伤害增加至180%
Lv.5伤害增加至190%",觉醒技能增强,明灯,"唯一效果。
其他友方式神的回合开始时，有10%概率使其获得明灯直到回合结束。拥有明灯并施放技能时，每余1点鬼火使该次技能伤害提升5%。","Lv.2触发概率增加至12%
Lv.3触发概率增加至14%
Lv.4触发概率增加至16%
Lv.5触发概率增至40%，但每拥有1点鬼火使概率降低3%"
面灵气,10139.88,3242.8,396.9,119,0.08,0,0,注灵,为敌方目标附加无面，造成攻击100%间接伤害，持续1回合。,"Lv.2间接伤害增至105%
Lv.3间接伤害增至110%
Lv.4间接伤害增至115%
Lv.5间接伤害增至125%",轮回之面,"场上每层恶面使自身提升10点速度、10%伤害，每层善面提升10%效果抵抗、10%减伤。
善面在友方行动后，为其增加5%行动条，后转化为恶面附加至随机敌方目标（没有恶面优先，再是生命比例较低优先）。","Lv.2恶面提升速度增至15点
Lv.3善面提升效果抵抗增至20%
Lv.4恶面提升速度增至20点
Lv.5善面增加行动条增至10%",禁断之面,"召回所有面具，使拥有善面的友方增加20%行动条，对带有恶面的敌方造成攻击130%间接伤害（每层恶面额外提升10%）。然后使其他友方获得善面。
面灵气无法获得善面。","Lv.2恶面间接伤害增至140%
Lv.3善面增加行动条增至25%
Lv.4恶面间接伤害增至150%
Lv.5善面增加行动条增至30%",觉醒技能增强,禁断之面,"召回所有面具，使拥有善面的友方增加20%行动条，对带有恶面的敌方造成攻击130%间接伤害（每层恶面额外提升10%）。然后使其他友方获得善面。
先机：使其他友方获得善面。
面灵气无法获得善面。","Lv.2恶面间接伤害增至140%
Lv.3善面增加行动条增至25%
Lv.4恶面间接伤害增至150%
Lv.5善面增加行动条增至30%"
食发鬼,10709.48,2894.4,432.18,118,0.08,0,0,发鞭,用引以为傲的长发编成鞭子，鞭打敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",迷烟,从烟斗吹出迷烟，飘至敌人处化作发丝紧紧缠住敌方目标，100%基础概率使其沉睡1回合。,,真实之颜,露出发幕下的真面目恫吓敌方全体，造成攻击87%伤害。,"Lv.2伤害增加至91%
Lv.3伤害增加至96%
Lv.4伤害增加至100%
Lv.5伤害增加至104%",觉醒技能增强,真实之颜,露出发幕下的真面目恫吓敌方全体，造成攻击87%伤害，并击退30%行动条。,"Lv.2伤害增加至91%
Lv.3伤害增加至96%
Lv.4伤害增加至100%
Lv.5伤害增加至104%"
食梦貘,11962.6,2412,463.05,119,0.05,0,0,入眠,尝试让敌方目标陷入噩梦，造成攻击80%伤害，20%概率驱散所有增益状态，20%基础概率使其沉睡，持续1回合。,"Lv.2伤害增加至85%
Lv.3伤害增加至90%
Lv.4伤害增加至95%
Lv.5伤害增加至100%",沉睡,造成伤害时，不会自动移除目标的沉睡。,,食梦者,潜入敌人梦中，使敌方全体有30%基础概率沉睡，持续1~2回合。,"Lv.2沉睡的基础概率增至35%
Lv.3沉睡的基础概率增至40%
Lv.4沉睡的基础概率增至45%
Lv.5沉睡的基础概率增至50%",觉醒技能增强,沉睡,"造成伤害时，不会自动移除目标的沉睡。
任何目标被沉睡时，为生命比例最低的友方治疗5%生命上限的生命。",
饿鬼,11393,2840.8,414.54,105,0.08,0,0,臭馒头,把腐臭的馒头扔向敌方目标，造成攻击100%伤害并有20%概率偷取1个增益状态，然后有30%基础概率获得1层馒头，上限4层。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",盗窃,10%概率协战。,"Lv.2触发概率增至15%
Lv.3触发概率增至20%
Lv.4触发概率增至25%
Lv.5触发概率增至30%",饥不择食,"对敌方目标造成攻击100%伤害，有30%基础概率将其吞食并在1回合后吐出，此期间被攻击时有15%概率提早吐出。
敌方被吐出时失去所有增益状态。
每层馒头可以提升吞食概率30%，未成功吞食时获得1层馒头。","Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",觉醒技能增强,饥不择食,"对敌方目标造成攻击100%伤害，有30%基础概率将其吞食并在1回合后吐出，此期间被攻击时有15%概率提早吐出。吐出时，使该敌方失去所有增益状态。
每层馒头可以提升吞食概率30%，未成功吞食时获得1层馒头。
若击杀敌方，则回复所有生命。","Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%"
首无,10937.32,2894.4,423.36,110,0.1,0,0,重击,重击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,虚无,施放虚无符咒，对敌方目标造成攻击206%伤害并无视40%防御。,"Lv.2伤害增加至216%
Lv.3伤害增加至226%
Lv.4伤害增加至236%
Lv.5伤害增加至246%",觉醒添加技能,冥火,"造成伤害时，偷取目标40%暴击，持续1回合。
同时间内只能对一个目标生效。",
骨女,9912.04,2948,454.23,107,0.1,0,0,骨刃,以饱含怨恨的骨刃，刺向敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",怨生,"受到攻击时，获得1层怨气，上限6层。
阵亡时，若拥有4层以上怨气，则消耗所有层数，立即复活并治疗生命上限20%的生命。",,一步一息,疾闪至敌人身后，对敌方目标攻击3次，每次造成攻击78%伤害并无视40%防御。,"Lv.2伤害增加至82%
Lv.3伤害增加至86%
Lv.4伤害增加至90%
Lv.5伤害增加至94%",觉醒技能增强,怨生,"受到攻击时，获得1层怨气，每层提升5%攻击，上限6层。
阵亡时，若拥有4层以上怨气，则消耗所有层数，立即复活并治疗生命上限20%的生命。",
鬼使白,10253.8,3055.2,423.36,116,0.08,0,0,活死人,汇聚冥界力量攻击敌方目标，造成攻击100%伤害并有100%基础概率减疗40%。持续2回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",魂狩,"敌方阵亡时，增加50%行动条。
【施放】在所有阵亡的敌方位置召唤1个白色小鬼，小鬼在下次行动时牺牲并攻击敌方全体，造成攻击100%间接伤害。
小鬼继承鬼使白10%生命值，50%攻击；被小鬼占位的敌方无法被复活。","Lv.2继承生命值增至15%，继承攻击增至60%
Lv.3继承生命值增至20%，继承攻击增至70%
Lv.4继承生命值增至25%，继承攻击增至80%
Lv.5继承生命值增至30%，继承攻击增至90%",无常夺命,从地狱唤出鬼手攻击敌方全体3次，每次造成攻击32%伤害，然后对敌方全体附加夺命，造成攻击158%间接伤害，持续1回合。,"Lv.2间接伤害增至167%
Lv.3间接伤害增至174%
Lv.4间接伤害增至182%
Lv.5持续回合增至2回合",觉醒技能增强,无常夺命,从地狱唤出鬼手攻击敌方全体3次，每次造成攻击32%伤害并有100%基础概率附加4级中毒，持续1回合；然后对敌方全体附加夺命，造成攻击158%间接伤害，持续1回合。,"Lv.2间接伤害增至167%
Lv.3间接伤害增至174%
Lv.4间接伤害增至182%
Lv.5持续回合增至2回合"
鬼使黑,10367.72,3419.68,410.13,101,0.1,0,0,惩戒,持巨大的黑镰惩戒敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",索命,击杀敌方时，获得新的回合。,,死亡宣判,挥舞镰刀攻击敌方全体，造成攻击106%伤害。对生命比例高于40%的敌方，伤害提升50%，反之伤害降低50%。,"Lv.2伤害增加至111%
Lv.3伤害增加至117%
Lv.4伤害增加至122%
Lv.5伤害增加至128%",属性增强:攻击加成增加10%,,,
鬼切,10823.4,3350,352.8,117,0.11,0,0,鬼斩,"拔出三把佩刀中的随机一把砍击敌方目标，造成攻击80%伤害，并根据不同佩刀，有100%基础概率附加对应减益状态，持续1回合。
髭切：减速20点
友切：减疗75%
狮子之子：降低20%防御","Lv.2伤害增加至84%
Lv.3伤害增加至88%
Lv.4伤害增加至92%
Lv.5伤害增加至100%",鬼刃·罗城门,"攻击后，若目标生命低于85%，对其追加1次斩击，造成攻击125%伤害。然后该目标生命若还低于65%，再追加1次对敌方全体的斩击，造成攻击125%伤害。
追加的斩击无视护盾、无法分担、不触发目标的御魂及被动。",,鬼影闪,同时拔出三把佩刀，攻击敌方目标3次，每次造成攻击80%伤害并各有50%基础概率为其附加佩刀的对应减益状态。,"Lv.2伤害增加至84%
Lv.3伤害增加至88%
Lv.4伤害增加至92%
Lv.5伤害增加至100%",觉醒技能增强,鬼刃·罗城门,"攻击后，若目标生命低于85%，对其追加1次斩击，造成攻击125%伤害。然后该目标生命若还低于65%，再追加1次对敌方全体的斩击，造成攻击125%伤害。
追加的斩击无视护盾、无法分担、不触发目标的御魂及被动，并使自身提升50%效果抵抗，持续1回合。",
